0x18d4 init
0x1956 DrawStatus
0x1a5c ClearScreen
0x191a DrawScoreHead
0x1931 DrawScore
0x9ad Print4Digits
0x9b2 DrawHexByte
0x9b2 DrawHexByte
0x1931 DrawScore
0x9ad Print4Digits
0x9b2 DrawHexByte
0x9b2 DrawHexByte
0x1950 PrintHiScore
0x1931 DrawScore
0x9ad Print4Digits
0x9b2 DrawHexByte
0x9b2 DrawHexByte
0x1947 DrawNumCredits
0x9b2 DrawHexByte
0xab1 OneSecDelay
0xad7 WaitOnDelay
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xab1 OneSecDelay
0xad7 WaitOnDelay
0x1815 DrawAdvTable
0x1856 ReadPriStruct
0x1856 ReadPriStruct
0x1856 ReadPriStruct
0x1856 ReadPriStruct
0x1856 ReadPriStruct
0x1856 ReadPriStruct
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0x1856 ReadPriStruct
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0x1856 ReadPriStruct
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0x1856 ReadPriStruct
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0xa93 PrintMessageDel
0x1856 ReadPriStruct
0xab6 TwoSecDelay
0xad7 WaitOnDelay
0x9d6 ClearPlayField
0x8d1 GetShipsPerCred
0x1a7f RemoveShip
0x1611 GetPlayerDataPtr
0x19e6 DrawNumShips
0x14cb ClearSmallSprite
0x14cb ClearSmallSprite
0x14cb ClearSmallSprite
0x14cb ClearSmallSprite
0x14cb ClearSmallSprite
0x1e4 CopyRAMMirror
0x1c0 InitAliens
0x1ef DrawShieldPl1
0x21a RestoreShields1
0x21e CopyShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1a69 RestoreShields
0x1cf DrawBottomLine
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x3bb GameObj1
0x1a06 CompYToBeam
0x4b6 GameObj3
0x550 ToShotStruct
0x563 HandleAlienShot
0x55b FromShotStruct
0x682 GameObj4
0x141 CursorNextAlien
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0xabb SplashDemo
0x100 DrawAlien
0x15d3 DrawSprite
0x1474 CnvtPixNumber
0x1a47 ConvToScr
0x248 RunGameObjs
0x3bb GameObj1
0x1a06 CompYToBeam
0x4b6 GameObj3
0x550 ToShotStruct
0x563 HandleAlienShot
0x55b FromShotStruct
0x682 GameObj4
0x913 TimeToSaucer
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
0x1618 PlrFireOrDemo
0x190a PlyrShotAndBump
0x14d8 PlayerShotHit
0x1597 RackBump
0x199a CheckHiddenMes
